INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
238209824,12/22/2021,20:04:00,MANHATTAN,23,0,,false,<18,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,"998,862","227,442",40.79094801600007,-73.94723197299999,POINT (-73.94723197299999 40.79094801600007)
224069696,02/06/2021,04:50:00,BROOKLYN,73,0,,false,25-44,M,BLACK,25-44,M,BLACK,"1,009,142","187,708",40.681865079000026,-73.91025402099996,POINT (-73.91025402099996 40.681865079000026)
235839217,11/02/2021,09:06:00,BRONX,52,0,,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,"1,014,487","254,336",40.86472467400005,-73.89068300599996,POINT (-73.89068300599996 40.86472467400005)
230448906,07/04/2021,02:00:00,BRONX,42,0,,false,,,,25-44,F,WHITE HISPANIC,"1,012,450","243,371",40.83463574800004,-73.89809365899998,POINT (-73.89809365899998 40.83463574800004)
238291448,12/25/2021,01:31:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,"1,002,649","173,133",40.64187580400005,-73.93370411399997,POINT (-73.93370411399997 40.64187580400005)
227647472,05/02/2021,02:38:00,BROOKLYN,67,0,,false,,,,18-24,M,BLACK,"999,809","172,040",40.63888119800004,-73.94394003499998,POINT (-73.94394003499998 40.63888119800004)
227950651,05/06/2021,22:10:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD,false,,,,18-24,M,BLACK,"997,631","178,916",40.65775788800004,-73.95177405399994,POINT (-73.95177405399994 40.65775788800004)
231190175,07/21/2021,00:40:00,MANHATTAN,32,0,,false,25-44,M,BLACK,25-44,M,BLACK,"998,094","235,038",40.811798195000044,-73.94998985099994,POINT (-73.94998985099994 40.811798195000044)
230234503,06/29/2021,19:14:00,QUEENS,102,0,,false,18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,"1,021,828","190,928",40.69065847000007,-73.86449709799997,POINT (-73.86449709799997 40.69065847000007)
236170275,11/11/2021,20:17:00,MANHATTAN,7,2,MULTI DWELL - PUBLIC HOUS,true,25-44,M,BLACK,25-44,F,BLACK HISPANIC,"989,775","199,282",40.71366629200002,-73.98007170899997,POINT (-73.98007170899997 40.71366629200002)
237087696,11/29/2021,14:20:00,MANHATTAN,25,0,,false,,,,25-44,M,BLACK,"1,001,375","231,978",40.80339359100003,-73.93814501199995,POINT (-73.93814501199995 40.80339359100003)
233080845,09/02/2021,17:42:00,BRONX,41,0,,false,18-24,M,BLACK,<18,M,BLACK,"1,014,604","238,800",40.82208252700008,-73.89033032599998,POINT (-73.89033032599998 40.82208252700008)
235426483,10/23/2021,02:04:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,WHITE HISPANIC,"1,007,986","232,412",40.80456951600007,-73.91426419499999,POINT (-73.91426419499999 40.80456951600007)
235088340,10/15/2021,16:17:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,false,,,,45-64,M,BLACK,"1,021,189","239,209",40.82318003200004,-73.86653604299994,POINT (-73.86653604299994 40.82318003200004)
226849321,04/13/2021,00:00:00,MANHATTAN,32,0,,false,<18,M,BLACK,18-24,M,BLACK,"999,900","238,685",40.82180517200004,-73.94345715499998,POINT (-73.94345715499998 40.82180517200004)
236817420,11/22/2021,12:50:00,BRONX,40,0,,false,25-44,M,WHITE HISPANIC,45-64,M,BLACK,"1,007,567","237,088",40.817404948000046,-73.91576142999998,POINT (-73.91576142999998 40.817404948000046)
222526451,01/01/2021,01:15:00,BRONX,44,0,HOTEL/MOTEL,false,18-24,M,BLACK,25-44,M,BLACK,"1,003,280","242,179",40.83138857100005,-73.93123512599993,POINT (-73.93123512599993 40.83138857100005)
