lat,lon
40.590542,-73.791534
40.588665,-73.798607
40.593319,-73.795502
40.595955,-73.796135
40.595715,-73.800797
40.596367,-73.796181
40.597115,-73.792305
40.598568,-73.796516
40.598232,-73.79361
40.598656,-73.794952
40.59692,-73.801468
40.587746,-73.801376
40.589378,-73.804825
40.59745,-73.793991
40.776501,-73.935364
40.776501,-73.935364
40.776501,-73.935364
40.776501,-73.935364
40.776501,-73.935364
40.776501,-73.935364
40.776501,-73.935364
40.771713,-73.932884
40.771217,-73.933823
40.771217,-73.933823
40.765438,-73.934433
40.774601,-73.927856
40.766293,-73.933357
40.768696,-73.930603
40.773197,-73.928017
40.766708,-73.931839
40.766708,-73.931839
40.765465,-73.931877
40.766094,-73.931221
40.782436,-73.918625
40.782436,-73.918625
40.782875,-73.917015
40.774723,-73.900116
40.772949,-73.898193
40.780598,-73.909264
40.779099,-73.907349
40.779099,-73.907349
40.778313,-73.906364
40.771435,-73.896721
40.773106,-73.89949
40.780273,-73.909866
40.782742,-73.911781
40.771435,-73.896721
40.777596,-73.905983
40.77195,-73.898102
40.769512,-73.927521
40.771687,-73.925873
40.778614,-73.910561
40.781006,-73.914818
40.768845,-73.927612
40.771507,-73.900719
40.771576,-73.925262
40.776157,-73.907516
40.77412,-73.904823
40.770077,-73.926025
40.764408,-73.930748
40.772831,-73.90361
40.773865,-73.905136
40.775482,-73.907898
40.769775,-73.900063
40.775898,-73.908775
40.77512,-73.908783
40.776028,-73.908142
40.781624,-73.914902
40.770294,-73.926254
40.77689,-73.912674
40.771923,-73.905647
40.771599,-73.90519
40.773842,-73.908554
40.769077,-73.90239
40.778198,-73.915352
40.779018,-73.916512
40.772903,-73.908264
40.773052,-73.909554
40.772366,-73.909096
40.77169,-73.905212
40.771484,-73.905457
40.771484,-73.905457
40.778316,-73.915398
40.771152,-73.907715
40.771099,-73.907837
40.770458,-73.92511
40.770943,-73.908829
40.764355,-73.929436
40.77187,-73.923409
40.770367,-73.908829
40.765316,-73.928436
40.775913,-73.916885
40.765854,-73.927017
40.771519,-73.912766
40.776073,-73.919914
40.771862,-73.923798
40.76955,-73.925186
40.769924,-73.924751
40.771381,-73.910919
40.773529,-73.91803
40.768326,-73.910133
40.768227,-73.91053
40.773251,-73.918427
40.768185,-73.911316
40.768185,-73.911316
40.775616,-73.922256
40.773418,-73.919937
40.773418,-73.919937
40.772709,-73.919464
40.774567,-73.919975
40.772575,-73.91906
40.772835,-73.919525
40.77306,-73.921844
40.769463,-73.917702
40.774719,-73.918594
40.76556,-73.925652
40.766167,-73.92543
40.765491,-73.925499
40.762932,-73.927742
40.773193,-73.923149
40.766659,-73.910675
40.772419,-73.920845
40.764854,-73.907425
40.767563,-73.913307
40.771393,-73.921143
40.774952,-73.927185
40.7677,-73.913933
40.7677,-73.913933
40.767174,-73.924088
40.772934,-73.924187
40.773052,-73.924469
40.772999,-73.924515
40.768379,-73.917793
40.767399,-73.91468
40.768406,-73.918274
40.772251,-73.924263
40.766178,-73.912941
40.767262,-73.91523
40.766636,-73.914055
40.765175,-73.910782
40.766029,-73.91291
40.767433,-73.915588
40.763508,-73.908348
40.765961,-73.913689
40.765568,-73.912865
40.766075,-73.914185
40.765972,-73.914093
40.775494,-73.927238
40.771439,-73.921768
40.774918,-73.927094
40.77586,-73.929314
40.767452,-73.923897
40.768772,-73.917923
40.763508,-73.908348
40.766075,-73.914009
40.766075,-73.914009
40.770084,-73.921158
40.77597,-73.934807
40.769928,-73.921349
40.772587,-73.925888
40.772587,-73.925888
40.772995,-73.925537
40.768822,-73.923431
40.77256,-73.930222
40.771069,-73.920883
40.7714,-73.927017
40.770988,-73.927162
40.762657,-73.908447
40.766773,-73.917831
40.77076,-73.927345
40.77076,-73.927345
40.77076,-73.927345
40.77076,-73.927345
40.764545,-73.913116
40.768147,-73.92189
40.768421,-73.923225
40.765827,-73.917625
40.762329,-73.910538
40.761192,-73.908005
40.763554,-73.913231
40.768471,-73.922958
40.764656,-73.914017
40.765495,-73.916664
40.769066,-73.921463
40.773865,-73.914268
40.768471,-73.921577
40.768471,-73.921577
40.764736,-73.924957
40.764107,-73.916069
40.770302,-73.91848
40.766247,-73.921043
40.765408,-73.921326
40.763657,-73.918831
40.759579,-73.909798
40.768456,-73.929375
40.75864,-73.908966
40.76289,-73.918358
40.762829,-73.918404
40.764877,-73.922791
40.762939,-73.9189
40.763763,-73.920761
40.764198,-73.921722
40.764164,-73.916725
40.767136,-73.92527
40.759571,-73.909988
40.764832,-73.922295
40.762817,-73.918846
40.7644,-73.924339
40.767574,-73.920509
40.763027,-73.921371
40.763199,-73.922012
40.763439,-73.922951
40.761299,-73.918381
40.768143,-73.933517
40.762611,-73.92141
40.754723,-73.930351
40.754723,-73.930351
40.760357,-73.916603
40.76226,-73.921074
40.761295,-73.919121
