lat,lon,price,beds,price_per_bed,price_per_bed_scale
40.775494,-73.927238,1900,1,1900,190
40.771439,-73.921768,1895,1,1895,189.5
40.774918,-73.927094,1899,1,1899,189.9
40.77586,-73.929314,3295,2,1648,164.8
40.767452,-73.923897,1750,1,1750,175
40.768772,-73.917923,1675,1,1675,167.5
40.763508,-73.908348,3000,3,1000,100
40.766075,-73.914009,1950,1,1950,195
40.766075,-73.914009,1950,1,1950,195
40.770084,-73.921158,2999,1,2999,299.9
40.77597,-73.934807,1950,1,1950,195
40.769928,-73.921349,2750,2,1375,137.5
40.772587,-73.925888,2750,1,2750,275
40.772587,-73.925888,2350,1,2350,235
40.772995,-73.925537,2750,1,2750,275
40.768822,-73.923431,2850,2,1425,142.5
40.77256,-73.930222,1850,2,925,92.5
40.771069,-73.920883,1850,1,1850,185
40.7714,-73.927017,2800,1,2800,280
40.770988,-73.927162,2800,1,2800,280
40.762657,-73.908447,2200,2,1100,110
40.766773,-73.917831,2283,1,2283,228.3
40.77076,-73.927345,2050,1,2050,205
40.77076,-73.927345,2600,1,2600,260
40.77076,-73.927345,2250,1,2250,225
40.77076,-73.927345,2275,1,2275,227.5
40.764545,-73.913116,2850,2,1425,142.5
40.768147,-73.92189,2595,2,1298,129.8
40.768421,-73.923225,2600,2,1300,130
40.765827,-73.917625,1925,1,1925,192.5
40.762329,-73.910538,2900,2,1450,145
40.761192,-73.908005,2399,3,800,80
40.763554,-73.913231,2300,2,1150,115
40.768471,-73.922958,2300,1,2300,230
40.764656,-73.914017,2245,1,2245,224.5
40.765495,-73.916664,1998,2,999,99.9
40.769066,-73.921463,2200,1,2200,220
40.773865,-73.914268,3200,3,1067,106.7
40.768471,-73.921577,2800,1,2800,280
40.768471,-73.921577,2650,1,2650,265
40.764736,-73.924957,2050,1,2050,205
40.764107,-73.916069,2995,3,998,99.8
40.770302,-73.91848,1900,1,1900,190
40.766247,-73.921043,2950,2,1475,147.5
40.765408,-73.921326,2000,2,1000,100
40.763657,-73.918831,2100,1,2100,210
40.759579,-73.909798,1675,1,1675,167.5
40.768456,-73.929375,1788,1,1788,178.8
40.75864,-73.908966,2200,2,1100,110
40.76289,-73.918358,2050,2,1025,102.5
40.762829,-73.918404,2100,2,1050,105
40.764877,-73.922791,2300,1,2300,230
40.762939,-73.9189,3100,2,1550,155
40.763763,-73.920761,2300,2,1150,115
40.764198,-73.921722,2450,1,2450,245
40.764164,-73.916725,3300,2,1650,165
40.767136,-73.92527,1900,1,1900,190
40.759571,-73.909988,2025,1,2025,202.5
40.764832,-73.922295,1775,1,1775,177.5
40.762817,-73.918846,3100,2,1550,155
40.7644,-73.924339,2600,2,1300,130
40.767574,-73.920509,1725,1,1725,172.5
40.763027,-73.921371,1750,1,1750,175
40.763199,-73.922012,1900,1,1900,190
40.763439,-73.922951,1750,1,1750,175
40.761299,-73.918381,2850,1,2850,285
40.768143,-73.933517,2000,1,2000,200
40.762611,-73.92141,1700,1,1700,170
40.754723,-73.930351,3000,1,3000,300
40.754723,-73.930351,3000,1,3000,300
40.760357,-73.916603,2095,2,1048,104.8
40.76226,-73.921074,1899,1,1899,189.9
40.761295,-73.919121,3000,1,3000,300
40.764442,-73.925804,2000,1,2000,200
40.760147,-73.917183,2000,1,2000,200
40.763908,-73.925873,3200,2,1600,160
40.764484,-73.927193,2550,1,2550,255
40.758385,-73.914314,1750,1,1750,175
40.762337,-73.922714,2200,2,1100,110
40.761127,-73.92041,1575,1,1575,157.5
40.758041,-73.91394,2000,1,2000,200
40.760738,-73.919952,2250,1,2250,225
40.759033,-73.916901,1900,1,1900,190
40.761063,-73.92186,2175,2,1088,108.8
40.7631,-73.926537,1900,1,1900,190
40.760334,-73.917122,2200,2,1100,110
40.759953,-73.916763,2300,2,1150,115
40.764542,-73.926628,2550,1,2550,255
40.769646,-73.917549,2600,1,2600,260
40.755997,-73.928787,2275,1,2275,227.5
40.769646,-73.917122,2100,2,1050,105
40.759926,-73.92231,2500,1,2500,250
40.763519,-73.922234,2100,2,1050,105
40.761337,-73.926994,2400,2,1200,120
40.755302,-73.912994,2075,2,1038,103.8
40.756573,-73.915771,2095,2,1048,104.8
40.756393,-73.915756,2000,2,1000,100
40.757732,-73.919228,1650,1,1650,165
40.758808,-73.923332,2500,2,1250,125
40.759968,-73.925682,2000,1,2000,200
40.75972,-73.922478,2400,2,1200,120
40.756573,-73.915771,2200,2,1100,110
40.75877,-73.923248,2500,2,1250,125
40.7547,-73.915085,3050,3,1017,101.7
40.761208,-73.923447,3000,3,1000,100
40.763519,-73.921455,1800,1,1800,180
40.761929,-73.928986,2650,2,1325,132.5
40.763229,-73.933998,2400,2,1200,120
40.758293,-73.924721,2950,3,983,98.3
40.755295,-73.926697,3100,3,1033,103.3
40.759876,-73.929146,1930,1,1930,193
40.759563,-73.928772,1800,1,1800,180
40.764503,-73.939568,2350,3,783,78.3
40.757694,-73.924774,2234,1,2234,223.4
40.764545,-73.941284,4468,2,2234,223.4
40.764545,-73.941284,2695,1,2695,269.5
40.764545,-73.941284,4354,2,2177,217.7
40.764545,-73.941284,2589,1,2589,258.9
40.764545,-73.941284,2580,1,2580,258
40.764545,-73.941284,3003,1,3003,300.3
40.764545,-73.941284,2580,1,2580,258
40.764545,-73.941284,2566,1,2566,256.6
40.764545,-73.941284,2594,1,2594,259.4
40.764545,-73.941284,2585,1,2585,258.5
40.764545,-73.941284,2589,1,2589,258.9
40.764545,-73.941284,2621,1,2621,262.1
40.764545,-73.941284,2566,1,2566,256.6
40.764545,-73.941284,4468,2,2234,223.4
40.764545,-73.941284,4812,2,2406,240.6
40.764545,-73.941284,2612,1,2612,261.2
40.764545,-73.941284,4468,2,2234,223.4
40.764545,-73.941284,2566,1,2566,256.6
40.758293,-73.924721,2395,1,2395,239.5
40.763626,-73.940117,2475,3,825,82.5
40.756413,-73.925629,2100,1,2100,210
40.756413,-73.925629,2099,1,2099,209.9
40.75705,-73.927345,2050,2,1025,102.5
40.760315,-73.921562,3075,3,1025,102.5
40.762207,-73.939995,1800,1,1800,180
40.75782,-73.930191,2600,2,1300,130
40.761436,-73.942062,2300,2,1150,115
40.754128,-73.926018,2350,2,1175,117.5
40.755917,-73.930687,1975,2,988,98.8
40.755524,-73.930351,2900,1,2900,290
40.755924,-73.928978,2200,2,1100,110
40.754311,-73.925476,2795,2,1398,139.8
40.764702,-73.916389,1800,1,1800,180
40.764629,-73.91626,1695,1,1695,169.5
40.764214,-73.915993,3000,3,1000,100
40.761669,-73.918419,2295,1,2295,229.5
40.775635,-73.90377,1750,1,1750,175
40.771267,-73.908737,2300,2,1150,115
40.77449,-73.932251,1700,1,1700,170
40.775658,-73.900795,3500,3,1167,116.7
40.767242,-73.910484,1850,1,1850,185
40.770065,-73.907013,2700,3,900,90
40.775578,-73.900894,3500,3,1167,116.7
40.764606,-73.911522,1850,1,1850,185
40.773167,-73.901405,2000,1,2000,200
40.760124,-73.91423,1700,1,1700,170
40.75502,-73.917007,2050,1,2050,205
40.75502,-73.917007,1700,1,1700,170
40.770721,-73.902794,2100,2,1050,105
40.765106,-73.938736,2425,2,1213,121.3
40.788708,-73.781822,2600,3,867,86.7
40.788704,-73.782005,2500,3,833,83.3
40.78878,-73.781769,2600,3,867,86.7
40.788513,-73.78186,2600,3,867,86.7
40.785568,-73.794304,2100,2,1050,105
40.783642,-73.778091,2200,1,2200,220
40.782997,-73.777916,2150,1,2150,215
40.782997,-73.777916,2150,1,2150,215
40.782997,-73.777916,2150,1,2150,215
40.788204,-73.789627,2700,3,900,90
40.784412,-73.777138,3500,4,875,87.5
40.762814,-73.784752,2600,2,1300,130
40.774063,-73.787537,2500,3,833,83.3
40.760418,-73.781166,2514,1,2514,251.4
40.762619,-73.771652,2000,2,1000,100
40.763535,-73.774216,2650,2,1325,132.5
40.760925,-73.770988,2550,3,850,85
40.785122,-73.778809,1750,1,1750,175
40.766953,-73.771591,2300,2,1150,115
40.783775,-73.777191,2500,1,2500,250
40.785412,-73.778137,3000,3,1000,100
40.758415,-73.766617,3300,3,1100,110
40.764198,-73.770622,2650,2,1325,132.5
40.769085,-73.771103,1200,1,1200,120
40.768093,-73.773659,2895,3,965,96.5
40.767437,-73.773788,1999,1,1999,199.9
40.765793,-73.773354,1965,1,1965,196.5
40.765793,-73.773354,2995,1,2995,299.5
40.766132,-73.773499,1800,1,1800,180
40.763828,-73.774803,2600,2,1300,130
40.762844,-73.777946,2050,2,1025,102.5
40.761398,-73.783806,1800,1,1800,180
40.764168,-73.766457,1800,1,1800,180
40.763683,-73.767723,2700,3,900,90
40.760647,-73.782188,2380,3,793,79.3
40.76281,-73.767029,2800,2,1400,140
40.76207,-73.771477,2700,2,1350,135
40.759182,-73.780128,1850,1,1850,185
40.762833,-73.758919,2250,2,1125,112.5
40.759178,-73.77597,1700,1,1700,170
40.762917,-73.759041,2450,2,1225,122.5
40.760845,-73.762505,2800,3,933,93.3
40.754402,-73.773834,2400,2,1200,120
40.756023,-73.765953,2350,2,1175,117.5
40.787495,-73.780243,2150,1,2150,215
40.78878,-73.781769,1530000,7,218571,21857.1
40.774429,-73.775276,1900,1,1900,190
40.784386,-73.784966,2700,3,900,90
40.770763,-73.789154,1850,1,1850,185
40.785057,-73.779053,2600,3,867,86.7
40.787098,-73.778809,2650,3,883,88.3
40.787495,-73.780243,2500,3,833,83.3
40.761875,-73.771385,3800,4,950,95
40.762844,-73.777946,2000,2,1000,100
40.766045,-73.767677,1400,1,1400,140
40.765793,-73.773354,2850,2,1425,142.5
40.763893,-73.771935,1875,1,1875,187.5
40.764198,-73.772339,1900,1,1900,190
40.762939,-73.777679,1750,1,1750,175
40.761047,-73.770706,1600,1,1600,160
40.735546,-73.714882,2700,3,900,90
40.728588,-73.72908,2300,2,1150,115
40.729145,-73.725555,1200,1,1200,120
40.708729,-73.814178,1995,2,998,99.8
40.710941,-73.815048,1850,1,1850,185
40.849545,-73.847404,2200,3,733,73.3
40.882191,-73.883179,3250,4,813,81.3
40.857285,-73.9049,1625,1,1625,162.5
40.857285,-73.9049,1600,1,1600,160
40.809708,-73.801888,2900,3,967,96.7
40.883129,-73.852821,2000,2,1000,100
40.832542,-73.886047,2500,3,833,83.3
40.80505,-73.923233,3000,2,1500,150
40.80505,-73.923233,3000,2,1500,150
40.80505,-73.923233,3000,2,1500,150
40.80505,-73.923233,3000,2,1500,150
40.80505,-73.923233,3000,2,1500,150
40.80505,-73.923233,3000,2,1500,150
40.80505,-73.923233,3000,2,1500,150
40.80505,-73.923233,3000,2,1500,150
40.80505,-73.923233,3100,2,1550,155
40.80505,-73.923233,2825,1,2825,282.5
40.80505,-73.923233,2300,1,2300,230
40.80505,-73.923233,3100,2,1550,155
40.80505,-73.923233,2825,1,2825,282.5
40.80505,-73.923233,3100,2,1550,155
40.80505,-73.923233,3000,2,1500,150
40.80505,-73.923233,3100,2,1550,155
40.80505,-73.923233,2300,1,2300,230
40.80505,-73.923233,3100,2,1550,155
40.80505,-73.923233,3100,2,1550,155
40.80505,-73.923233,2825,1,2825,282.5
40.80505,-73.923233,2300,1,2300,230
40.80505,-73.923233,2300,1,2300,230
40.80505,-73.923233,2300,1,2300,230
40.80505,-73.923233,2825,1,2825,282.5
40.80505,-73.923233,2825,1,2825,282.5
40.80505,-73.923233,2300,1,2300,230
40.80505,-73.923233,2825,1,2825,282.5
40.80505,-73.923233,2300,1,2300,230
40.80505,-73.923233,2300,1,2300,230
40.80505,-73.923233,2825,1,2825,282.5
40.80505,-73.923233,2825,1,2825,282.5
40.80505,-73.923233,2300,1,2300,230
40.80505,-73.923233,2825,1,2825,282.5
40.80505,-73.923233,3300,2,1650,165
40.80505,-73.923233,3000,2,1500,150
40.80505,-73.923233,2300,1,2300,230
40.80505,-73.923233,3100,2,1550,155
40.80505,-73.923233,3600,1,3600,360
40.80505,-73.923233,3100,2,1550,155
40.80505,-73.923233,2825,1,2825,282.5
40.831032,-73.827408,2000,2,1000,100
40.830151,-73.920135,3250,3,1083,108.3
40.85537,-73.859772,1700,1,1700,170
40.834667,-73.819862,1750,1,1750,175
40.850418,-73.8564,2200,2,1100,110
40.83078,-73.829422,2000,2,1000,100
40.824776,-73.899132,2100,3,700,70
40.829819,-73.916466,1950,1,1950,195
40.829819,-73.916466,2250,1,2250,225
40.829819,-73.916466,2350,2,1175,117.5
40.828819,-73.913956,2600,,#DIV/0!,#DIV/0!
40.825401,-73.877769,1550,1,1550,155
40.849819,-73.907654,2650,3,883,88.3
40.824768,-73.887444,2096,2,1048,104.8
40.824768,-73.887444,1848,1,1848,184.8
40.849094,-73.854622,2450,3,817,81.7
